,Company,Title,Location,Url
21,"MapLarge, Inc.",Senior Software Architect / Engineer who enjoys coding web services in c#,United States,https://jobs.github.com/positions/6ad65ab4-197e-4d05-b709-7674d448b031
22,MapLarge,Senior Full Stack .Net Web Application Developer,United States,https://jobs.github.com/positions/113e5b39-0d51-4010-8795-39e20be2f3f2
23,MapLarge,Lead Application Developer / Technical Project Manager,United States,https://jobs.github.com/positions/4516e97f-bbb0-4773-a9ec-cc8051f2a6a7
24,Life.Church,YouVersion Mobile Android ,"Edmond, Oklahoma",https://jobs.github.com/positions/e3ea8dee-e47b-4459-ab95-9f170abab60e
25,Isometric Technologies,Full Stack Software Engineer,San Francisco | Remote (US/Canada),https://jobs.github.com/positions/09c70af5-9906-4ecd-ad11-a15cc492e2ed
26,EME Hive,Infrastructure Engineer for Social Livestreaming App,New York City,https://jobs.github.com/positions/b1691d49-ee1d-4793-9c1d-7a10a9b8b84a
27,Covestro Deutschland AG,R&D Programmer (m/w/d),Leverkusen,https://jobs.github.com/positions/96b44ca5-1d3b-42d5-83bd-f33afaea9279
28,PGGM,Lead Software Engineer,Zeist,https://jobs.github.com/positions/7377bda6-f665-4728-a0e1-4059d7d94280
29,azeti GmbH,"Fullstack Entwickler (Kotlin, React)",Berlin / Remote,https://jobs.github.com/positions/4ee82287-3566-4cff-a926-09a83e5cc71b
30,Rhenus Freight Network GmbH & Co. KG,Senior Entwickler (w/m/d) Self-Contained-Systems,Holzwickede,https://jobs.github.com/positions/ce71734f-0c92-4057-8f07-93e51962465a
31,Limango,Backend Developer (m/w/d),München,https://jobs.github.com/positions/459cf11a-ba8d-4c30-99f0-ec9971cbb731
32,wundertax GmbH,Senior Frontend Developer (m/f/d),Berlin,https://jobs.github.com/positions/f9ed227f-5412-421c-8dc4-58ffd263493e
33,wundertax GmbH,Senior Backend Developer (m/f/d),Berlin,https://jobs.github.com/positions/5199e140-35e8-4d5e-b8b7-2e7b7e744709
34,eHealth Innovation @ UHN,iOS Developer,"Toronto, Canada (or remote within Canada)",https://jobs.github.com/positions/ff9219e4-6cb7-4e22-9beb-d660ef2edfb5
