,Job Title,Company,Location,Job Url,Unnamed: 0
497,Senior Back End Developer,Strategic Employment Partners,"New York, NY",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CLSf-jfoHigW1cBjtGRtm6_23EvXrANN9AHlQMkGJBizw6o_nPNEHjovrvSNfLPBJhunp1iI_hMXJNEwPedglJpoNe855E0w-A0IGzQ59ig9Pxc175ESMseeYaBlYlE8L-2B-AyVrffnYk62ZpSFojHA_Kp1NmtrfB2aXSJ-O44nFfXykGh6YCgUKnBQ4oE1TrE8N0uJolZbh_EnYlC3ioRYJGTT8wHcsZLBIllluOIBqzdp0wRQxqlC9Uatraerlrah0RRdc7pTyneynq_pyqBNd_LjzGMOLvJHbRskItxbV9qzPKfhrAArWTXKP8yoSp2f2wtH-Dw6dHoAYA4ZVBQa0MnYK_P98acqGQEdU6Gfi97Rm_Qq-7HiniSftRUa8tboBh_qZj1CP23i3WmrpnTytG2xGvCEh7UeO18ggZ31HwpqBdNzATnjEl7OoAurE=&p=12&fvj=1&vjs=3,
498,"Senior Data Scientist, Real World Evidence",Flatiron Health,"New York, NY",https://www.indeed.com/rc/clk?jk=a5b08eb97fe2fb53&fccid=966804bce9d82eb0&vjs=3,
499,Scientist – High-throughput Clinical Immunoassays and Diagnostics,Pfizer,"Pearl River, NY",https://www.indeed.com/rc/clk?jk=adfa602b5bcd33f3&fccid=7ff126af0cd3d93b&vjs=3,
500,Quantitative Documentation Specialist,Numerix,"New York, NY",https://www.indeed.com/rc/clk?jk=fc86fe9b26877ca5&fccid=bea74927fd353048&vjs=3,
501,MAS Full-Stack Developer (javascript/node.js/Python),Opus Agency,"Brooklyn, NY",https://www.indeed.com/rc/clk?jk=63b10d5e951f73e7&fccid=a964d0ea9a8af883&vjs=3,
502,Data Management Analyst,Community Healthcare Network,"New York, NY",https://www.indeed.com/rc/clk?jk=1362fc0ddb366cf0&fccid=3d224cd75e9c756a&vjs=3,
503,Quantitative Research - Investible Index and Nexus - Vice President,"JPMorgan Chase Bank, N.A.","New York, NY",https://www.indeed.com/rc/clk?jk=3a174465b29d3659&fccid=aaf3b433897ea465&vjs=3,
504,Threat Intelligence Specialist,Cyware,New York State,https://www.indeed.com/rc/clk?jk=7cc7e7471c5a8c17&fccid=2862bcf665dba6af&vjs=3,
505,FinTech Software Developer,The Motley Fool,"New York, NY",https://www.indeed.com/rc/clk?jk=34ebe1229a1c0108&fccid=62d0bf8f2d130eaa&vjs=3,
506,Data Solutions Architect-REMOTE!,CSG,"New York, NY",https://www.indeed.com/company/CSG/jobs/Data-Solution-Architect-Remote-003244999af54c9c?fccid=b5e99b10cbd50664&vjs=3,
507,Copywriter,DataDog,"New York, NY",https://www.indeed.com/rc/clk?jk=b8e08d1719ce989a&fccid=448951d0ddf03e0c&vjs=3,
