,Job Title,Company,Location,Job Url
207,Senior Full Stack Developer,Defendify,"Portland, ME (Remote OK)",https://jobs.github.com/positions/912fc53b-1b7f-427a-bc69-25f03b597f8c
208,Fullstack Developer (m/w/d),dirico,Koblenz,https://jobs.github.com/positions/b003b45c-6abb-4206-8a5c-171c6efb7d00
209,System Architect / Software Lead (m/w/d),Pixtunes GmbH,Berlin,https://jobs.github.com/positions/82f87bd6-2732-4555-8784-2595d662ccd8
210,Senior Javascript Developer,Construyo,Berlin,https://jobs.github.com/positions/6d3173e8-15bb-46b0-b24d-7bbc6d8def32
211,"Software Engineer – Web (Python, React.js)",Spanflug Technologies GmbH,Munich,https://jobs.github.com/positions/903ceca2-52e9-443c-a639-b2f032204589
212,Senior Frontend Developer (m/w/d),neubau kompass AG,Munich,https://jobs.github.com/positions/703a5132-4062-42d8-bb80-3a08ddbc8f94
213,full stack ontwikkelaar,Politie Nederland,Utrecht,https://jobs.github.com/positions/4d7664c8-8133-4ae7-b924-831a16721cdf
214,Senior React Native Engineer (Mobile),Axios,Remote (USA),https://jobs.github.com/positions/43bcafc4-3710-4f12-8701-120c3f1e4c83
215,Frontend Engineer (React/NextJS),Superside,Remote,https://jobs.github.com/positions/1f0bc6cd-6347-48a1-8754-98b09c264cf2
216,Dev Ops Engineer,Amun,Remote Remote [GMT+2 to GMT-5 zone preferred],https://jobs.github.com/positions/b35a2dd9-f16b-46fd-a1ef-223417e7ab77
217,Front End Developer,Amun,Remote Remote [GMT+2 to GMT-5 zone preferred],https://jobs.github.com/positions/a7c16735-0426-47aa-9d61-97388054f81b
218,"Microsoft Software Engineer. Dublin, Ireland.",Microsoft,"Dublin, Ireland",https://jobs.github.com/positions/aa5a4c42-7a7a-4513-9de6-a0daeba36d87
219,Solution Architect/Lead Developer,Discover New Art,Remote,https://jobs.github.com/positions/94a0f7e3-a485-4a7a-be7f-39c5adb7353c
